,Query,Value
1074,gen 8 smart watch,"+4,150%"
1075,itel smart watch,+300%
1076,smart watch wallpaper 4k,+250%
1077,ambrane smart watch,+250%
1078,pods smart watch,+200%
1079,hammer smart watch,+170%
1080,firebolt smart watch app,+160%
1081,noise colorfit pro 4,+150%
1082,dress for women under 500,100
1083,dresses under 500,44
1084,bodycon dress under 500,36
1085,long dress,35
1086,long dress under 500,34
1087,one piece dress under 500,34
1088,one piece,34
1089,one piece dress,32
1090,dress for girls,27
1091,top under 500,26
1092,maxi dress,25
1093,black dress,25
1094,party wear dress,21
1095,tops,21
1096,tops under 500,20
1097,dresses for women under 500,19
1098,dresses for women,19
1099,dress under 300,18
1100,urbanic dress,18
1101,organza dress,4
1102,gym wear set for ladies under 500,Breakout
1103,yellow dress for haldi meesho,Breakout
1104,backless dress for women,Breakout
1105,gym dress for women,Breakout
1106,can can skirt under 500,Breakout
1107,anarkali dress with dupatta,+250%
1108,sweater for women under 500,+200%
1109,bodycon dress under 300,+110%
1110,maternity wear under 500,+90%
1111,kaftan dress,+90%
1112,best gift under 500,100
1113,birthday gift,73
1114,gifts,52
1115,gifts under 500,51
1116,gift ideas under 500,36
1117,gift for men,33
1118,gift for boys under 500,30
1119,gift for boys,30
1120,gift under 500 for boy,21
1121,gift for women under 500,20
1122,gift items under 500,17
1123,gift for best friend,17
1124,gift for boyfriend,16
1125,gift for sister under 500,15
1126,gift for girlfriend,15
1127,wedding gift under 500,14
1128,birthday gift for girl,14
1129,best gift for boys under 500,12
1130,diwali gift under 500,11
1131,best gift for boys,11
1132,bella vita perfume,Breakout
1133,wallet for men,+200%
1134,diwali gift hampers,+170%
1135,diwali gift hampers under 500,+110%
1136,teachers day gift,+90%
1137,bracelet for girls,+70%
1138,gift for teachers day,+60%
1139,gift for diwali under 500,+60%
1140,best gift for mom birthday,+50%
1141,birthday gift for male friend,+50%
1142,secret santa gift ideas,+50%
1143,best gift for boyfriend under 500,+50%
1144,earbuds boat,100
1145,wireless earbuds,54
1146,oneplus earbuds,46
1147,tws,34
1148,realme earbuds,25
1149,jbl earbuds,24
1150,earbuds samsung,23
1151,skullcandy earbuds,20
1152,airdopes,19
1153,boult earbuds,19
1154,boat nirvana ion earbuds,Breakout
1155,best earbuds 2023,Breakout
1156,m19 earbuds,Breakout
1157,bose qc earbuds 2,Breakout
1158,m90 pro earbuds,Breakout
1159,gpods earbuds,Breakout
1160,boat nirvana earbuds,"+1,300%"
1161,m10 earbuds,"+1,100%"
1162,bose quietcomfort earbuds 2,+750%
1163,nokia phone with earbuds,+600%
1164,skullcandy dime true wireless earbuds review,+500%
1165,skullcandy dime 2,+350%
1166,dime true wireless earbuds,+350%
1167,m10 tws wireless earbuds,+350%
1168,acefast earbuds,+300%
1169,skullcandy dime true wireless earbuds,+300%
1170,boat earbuds 161,+250%
1171,oneplus nord ce earbuds,+250%
1172,skullcandy dime tws earbuds,+250%
1173,skullcandy dime tws,+250%
